[2016-07-31 14:06:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_12","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_product_12","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_12","catalog_category","catalog_category_product_12"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:14] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"request_declaration"},"is_exception":false} []
[2016-07-31 14:06:19] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:34] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://dev.barbaron.bg/magdmin/catalog/product/index/key/d9fa2715797d8237bf3c59a3edaada448f4d094cb4e5fcda05f48b13ae914c22/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_331","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_332","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_333","FPC"],"mode":"matchingTag"},"is_exception":false} []
